study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB5348	SAMEA2401396	ERX425534	ERR459187	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459187/ERR459187.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459187/120903_0219_D0PT7ACXX_2_SA-PE-094.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459187
PRJEB5348	SAMEA2401397	ERX425535	ERR459188	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459188/ERR459188.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459188/120903_0219_D0PT7ACXX_3_SA-PE-094.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459188
PRJEB5348	SAMEA2401398	ERX425536	ERR459189	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459189/ERR459189.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459189/120903_0219_D0PT7ACXX_4_SA-PE-094.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459189
PRJEB5348	SAMEA2401399	ERX425537	ERR459190	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459190/ERR459190.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459190/120903_0219_D0PT7ACXX_5_SA-PE-094.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459190
PRJEB5348	SAMEA2401400	ERX425538	ERR459191	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459191/ERR459191.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459191/120903_0219_D0PT7ACXX_6_SA-PE-094.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459191
PRJEB5348	SAMEA2401401	ERX425539	ERR459192	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459192/ERR459192.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459192/120903_0219_D0PT7ACXX_7_SA-PE-094.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459192
PRJEB5348	SAMEA2401402	ERX425540	ERR459193	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459193/ERR459193.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459193/120903_0219_D0PT7ACXX_1_SA-PE-017.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459193
PRJEB5348	SAMEA2401403	ERX425541	ERR459194	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459194/ERR459194.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459194/120903_0219_D0PT7ACXX_2_SA-PE-017.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459194
PRJEB5348	SAMEA2401404	ERX425542	ERR459195	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459195/ERR459195.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459195/120903_0219_D0PT7ACXX_3_SA-PE-017.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459195
PRJEB5348	SAMEA2401405	ERX425543	ERR459196	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459196/ERR459196.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459196/120903_0219_D0PT7ACXX_4_SA-PE-017.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459196
PRJEB5348	SAMEA2401406	ERX425544	ERR459197	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459197/ERR459197.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459197/120903_0219_D0PT7ACXX_5_SA-PE-017.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459197
PRJEB5348	SAMEA2401407	ERX425545	ERR459198	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459198/ERR459198.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459198/120903_0219_D0PT7ACXX_6_SA-PE-017.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459198
PRJEB5348	SAMEA2401408	ERX425546	ERR459199	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459199/ERR459199.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459199/120903_0219_D0PT7ACXX_7_SA-PE-017.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459199
PRJEB5348	SAMEA2401409	ERX425547	ERR459200	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459200/ERR459200.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459200/120903_0219_D0PT7ACXX_1_SA-PE-085.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459200
PRJEB5348	SAMEA2401410	ERX425548	ERR459201	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459201/ERR459201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459201/120903_0219_D0PT7ACXX_2_SA-PE-085.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459201
PRJEB5348	SAMEA2401411	ERX425549	ERR459202	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459202/ERR459202.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459202/120903_0219_D0PT7ACXX_3_SA-PE-085.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459202
PRJEB5348	SAMEA2401412	ERX425550	ERR459203	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459203/ERR459203.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459203/120903_0219_D0PT7ACXX_4_SA-PE-085.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459203
PRJEB5348	SAMEA2401413	ERX425551	ERR459204	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459204/ERR459204.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459204/120903_0219_D0PT7ACXX_5_SA-PE-085.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459204
PRJEB5348	SAMEA2401414	ERX425552	ERR459205	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459205/ERR459205.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459205/120903_0219_D0PT7ACXX_6_SA-PE-085.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459205
PRJEB5348	SAMEA2401415	ERX425553	ERR459206	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459206/ERR459206.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR459/ERR459206/120903_0219_D0PT7ACXX_7_SA-PE-085.sanfastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459206
